grid_cons,tot_energy_bought,pv_grid,tot_energy_sold,tot_energy_produced_pv,rated_power,battery_capacity,max_power_bought,revenue_from_selling_energy,total_energy_consumed,pv_cons,sum_pv_cons,battery_cons,sum_bat_cons_cons,TOT_OPEX_SOLAR,investment_solar,lost_discharging,pv_battery,lost_charging,battery_usage,consumption_data,normalized_pv
2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.090000000000001,0.0
3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.960000000000001,0.0
3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0
5.2444754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055245596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.250000000000001,0.0055110644
4.319287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.590000000000002,1.2676089
6.9585626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6114374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.570000000000002,2.6050583
6.7502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4597893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21,3.4513379
2.9139323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6560677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.570000000000001,3.6471368
2.9861741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3538259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.340000000000001,3.3456333
