index,grid_cons,tot_energy_bought,pv_grid,tot_energy_sold,tot_energy_produced_pv,rated_power,battery_capacity,max_power_bought,revenue_from_selling_energy,total_energy_consumed,pv_cons,sum_pv_cons,battery_cons,sum_bat_cons_cons,TOT_OPEX_SOLAR,investment_solar,lost_discharging,pv_battery,lost_charging,battery_usage,consumption_data,normalized_pv,solver,circular_time
0,4.73,27734.531331427894,0.0,10643.444698673327,27812.163348540107,28.379758,0.0,16.31,532.1722349336663,44903.24999999979,0.0,17168.71866681855,0.0,0.0,851.39274,44055.7096,0.0,0.0,0.0,0.0,4.730000000000001,0.0,pulp (CBC),1
1,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330000000000001,0.0,0,0
2,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.780000000000001,0.0,0,0
3,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120000000000001,0.0,0,0
4,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0,0
5,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120000000000001,0.0,0,0
6,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.190000000000001,0.0,0,0
7,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0,0
8,5.6883254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001674598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,0.0016705074,0,0
9,3.4357866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97421338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.97183361,0,0
10,5.1976732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0123268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.210000000000001,2.0074112,0,0
11,3.866987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.863013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.730000000000001,2.8560193,0,0
12,3.0521476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1178524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.170000000000002,3.1102362,0,0
13,4.5724772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6475228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.220000000000001,2.6410555,0,0
14,4.9119856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1880144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2.1826696,0,0
15,4.5806134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98938663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.570000000000001,0.98696979,0,0
16,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0,0
17,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739999999999998,0.0,0,0
18,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72,0.0,0,0
19,14.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.26,0.0,0,0
20,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,0.0,0,0
21,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500000000000001,0.0,0,0
22,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.490000000000001,0.0,0,0
23,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210000000000001,0.0,0,0
24,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.890000000000001,0.0,0,0
25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0,0
26,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.580000000000001,0.0,0,0
27,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.720000000000001,0.0,0,0
28,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0,0
29,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.090000000000001,0.0,0,0
30,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.960000000000001,0.0,0,0
31,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0,0
32,5.2444754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055245596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.250000000000001,0.0055110644,0,0
33,4.319287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.590000000000002,1.2676089,0,0
34,6.9585626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6114374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.570000000000002,2.6050583,0,0
35,6.7502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4597893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21,3.4513379,0,0
36,2.9139323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6560677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.570000000000001,3.6471368,0,0
37,2.9861741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3538259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.340000000000001,3.3456333,0,0
38,5.7253094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2446906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,2.2392074,0,0
39,5.6195119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0504881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.670000000000001,1.047922,0,0
40,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.140000000000001,0.0,0,0
41,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.470000000000001,0.0,0,0
42,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.869999999999999,0.0,0,0
43,9.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.729999999999999,0.0,0,0
