grid_cons,pv_grid,battery_cons,lost_discharging,pv_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv
0.536,0.0,0.0,0.0,0.0,0.0,0.0,1.0562392099181204,0.536,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0562392099181204,0.408,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.0,1.0562392099181204,0.41600000000000004,0.0
0.0,0.0,0.0,0.0,0.31852106995832996,0.015926053497916513,0.8079999999999999,1.3588342263785338,0.47200000000000003,0.0
0.0,0.0,0.0,0.0,0.5724131601755305,0.02862065800877655,1.808,1.9026267285452878,0.528,0.0
0.6341780950942955,0.0,0.0,0.0,0.0,0.0,0.3098219049057046,1.9026267285452878,0.5920000000000001,0.0
0.2611732465184222,0.0,1.8028267534815778,0.09014133767407898,0.0,0.0,0.0,0.00491435645941621,0.528,0.0
1.4033313613635547,0.0,0.004668638636445399,0.00023343193182227015,0.0,0.0,0.0,0.0,0.504,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.0207378712871287
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8079999999999999,0.0766902360387091
0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8319999999999999,0.129477357355501
0.0,0.0,0.0,0.0,0.14642299420535498,0.007321149710267756,1.008,0.13910184449508722,1.84,0.219984721858281
0.0,0.0,0.0,0.0,0.9740261569344368,0.048701307846721886,1.056,1.0644266935828022,1.808,0.16205151593859102
0.6181361422143752,0.0,0.043205358903662096,0.0021602679451831067,0.0,0.0,0.13865849888196274,1.0189473684210526,0.7440000000000001,0.140233101561832
1.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0189473684210526,1.6480000000000001,0.0785109104964767
0.0,0.0,0.968,0.04840000000000004,0.0,0.0,0.0,0.0,0.9440000000000001,0.0210917626405868
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8079999999999999,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1440000000000001,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064,0.0
0.0,0.0,0.0,0.0,1.4188125107680831,0.07094062553840422,0.8240000000000001,1.347871885229679,1.44,0.0
0.0,0.0,0.0,0.0,2.124548615652923,0.10622743078264625,1.264,3.366193070099956,1.456,0.0
0.04360519092716805,0.0,0.1258834165949583,0.0062941708297479205,0.0,0.0,0.47851139247787366,3.2336842105263157,1.4080000000000001,0.0
0.0,0.0,2.496,0.1248000000000001,0.0,0.0,0.0,0.6063157894736843,1.0,0.0
1.168,0.0,0.0,0.0,0.0,0.0,0.0,0.6063157894736843,0.848,0.0
0.0,0.0,0.5760000000000001,0.02880000000000003,0.0,0.0,0.0,0.0,0.496,0.0
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0
0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.0
0.0,0.0,0.0,0.0,2.5562004400428524,0.12781002200214273,0.792,2.42839041804071,0.424,0.0
0.0,0.810449093658101,0.0,0.0,3.4916444462974527,0.1745822223148728,0.912,5.74545264202329,0.43200000000000005,0.0
0.0,0.0,0.0,0.0,0.4751835378874554,0.02375917689437279,1.056,6.196877003016373,0.632,0.0
0.0,0.0,0.84,0.04200000000000004,0.0,0.0,0.0,5.312666476700583,0.616,0.0
1.112,0.0,0.0,0.0,0.0,0.0,0.0,5.312666476700583,0.5920000000000001,0.0
0.736,0.0,0.0,0.0,0.0,0.0,0.0,5.312666476700583,0.7440000000000001,0.0347384108910891
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,5.312666476700583,1.008,0.0785897168504774
0.504,0.0,0.0,0.0,0.0,0.0,0.0,5.312666476700583,1.504,0.11668991873751501
0.19459235193211732,0.0,0.0,0.0,0.0,0.0,0.5734076480678827,5.312666476700583,1.3119999999999998,0.136112929340593
1.033695724462388,0.0,0.0,0.0,0.0,0.0,0.9663042755376118,5.312666476700583,1.056,0.13819820089633497
1.1589219674582802,0.0,0.0,0.0,0.0,0.0,0.10507803254171971,5.312666476700584,0.9520000000000001,0.0934682642473076
1.4033313613635547,0.0,0.7806686386364454,0.03903343193182231,0.0,0.0,0.0,4.4909100149780095,0.88,0.0637988570056617
0.0,0.0,1.104,0.055200000000000055,0.0,0.0,0.0,3.328804751820114,0.8,0.00943946215619753
0.7040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.328804751820114,0.56,0.0
0.512,0.0,0.0,0.0,0.0,0.0,0.0,3.328804751820114,0.88,0.0
0.6559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.328804751820114,1.16,0.0
0.0,0.0,0.0,0.0,0.3811798499118396,0.019058992495592,0.5760000000000001,3.690925609236362,1.76,0.0
0.0,0.0,0.0,0.0,2.3430086040310547,0.11715043020155284,1.4080000000000001,5.916783783065863,1.784,0.0
0.9196790047159185,0.0,0.0,0.0,0.0,0.0,0.4883209952840816,5.916783783065863,0.968,0.0
0.0,0.0,1.568,0.07840000000000007,0.0,0.0,0.0,4.2662574672763895,0.76,0.0
1.3840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.2662574672763895,0.9279999999999999,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,4.2662574672763895,0.5920000000000001,0.0
0.392,0.0,0.0,0.0,0.0,0.0,0.0,4.2662574672763895,0.47200000000000003,0.0
0.584,0.0,0.0,0.0,0.0,0.0,0.0,4.2662574672763895,0.496,0.0
