grid_cons,pv_grid,battery_cons,lost_discharging,pv_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv,EV_presence,ev_ev,ev_cons
0.88,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.88,0.0,0,0,0
1.16,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,1.16,0.0,0,0,0
1.76,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,1.76,0.0,1,12,0
1.784,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,1.784,0.0,1,12,0
0.968,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.968,0.0,1,45,0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.76,0.0,1,45,0
0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.9279999999999999,0.0,1,45,0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.5920000000000001,0.0,1,45,0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.47200000000000003,0.0,1,45,0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.496,0.0,1,45,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.48,0.0,1,45,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.48,0.0,1,45,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.48,0.0,1,45,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.48,0.0,1,0,0
0.624,0.0,0.0,0.0,0.0,0.0,0.0,2.665526059731104e-14,0.624,0.0,0,0,0
1.024,0.0,0.0,0.0,5.013645056127995e-16,2.5068225280639996e-17,0.0,2.665526059731104e-14,1.024,0.0273205841584158,0,0,0
0.8240000000000001,3.623029250313626e-18,0.0,0.0,2.785425046434782e-15,1.3927125232173922e-16,0.0,2.724288817772487e-14,0.8240000000000001,0.15268406905850102,0,0,0
0.728,1.7953698033267557e-17,0.0,0.0,4.721669089814414e-15,2.360834544907209e-16,0.0,2.984052934563005e-14,0.728,0.259466625677731,0,0,0
2.2880000000000003,2.685798714526086e-17,0.0,0.0,5.0392719511375895e-15,2.519635975568797e-16,0.0,3.419516504256094e-14,2.2880000000000003,0.277340982430399,0,0,0
1.264,8.36505578684288e-18,0.0,0.0,4.205462426660903e-15,2.1027312133304535e-16,0.0,3.8970904958961226e-14,1.264,0.23068240807309198,0,0,0
2.296,0.0,0.0,0.0,4.3316728513397926e-15,2.1658364256698982e-16,0.0,4.296911918835032e-14,2.296,0.235914082875717,0,0,0
1.3119999999999998,0.0,0.0,0.0,2.7633205305420614e-15,1.381660265271032e-16,0.0,4.682614659602813e-14,1.3119999999999998,0.15117920365231602,0,0,0
0.648,0.0,0.0,0.0,5.952885883544806e-16,2.976442941772406e-17,0.0,4.9725398251269145e-14,0.648,0.0325756460442386,0,0,0
0.528,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.528,0.0,0,0,0
1.016,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,1.016,0.0,0,0,0
2.496,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,2.496,0.0,0,0,0
1.912,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,1.912,0.0,1,12,0
1.168,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,1.168,0.0,1,12,0
1.168,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,1.168,0.0,1,12,0
1.92,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,1.92,0.0,1,12,0
1.3359999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,1.3359999999999999,0.0,1,12,0
0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.5760000000000001,0.0,1,12,0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.47200000000000003,0.0,1,12,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.48,0.0,1,45,0
0.424,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.424,0.0,1,45,0
0.504,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.504,0.0,1,45,0
0.536,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.536,0.0,1,45,0
0.488,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.488,0.0,1,0,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,5.016183865480249e-14,0.48,0.0,0,0,0
0.6559999999999999,3.3469363359247065e-18,0.0,0.0,6.370185040408003e-16,3.1850925202040044e-17,0.0,5.016183865480249e-14,0.6559999999999999,0.0350562623762376,0,0,0
0.792,1.5568402324594674e-17,0.0,0.0,4.148084131926463e-15,2.0740420659632333e-16,0.0,5.0634614306359046e-14,0.792,0.227935623131571,0,0,0
0.84,0.0,0.0,0.0,6.234923877222267e-15,3.117461938611136e-16,0.0,5.4262252538427436e-14,0.84,0.341319136509865,0,0,0
