grid_cons,pv_grid,battery_cons,lost_discharging,PV_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.536,0.0
0.408,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.408,0.0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.41600000000000004,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.47200000000000003,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.528,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5920000000000001,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.528,0.0
0.504,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.504,0.0
0.42929583339056765,0.0,0.0,0.0,0.0,0.0,0.15470416660943234,-0.0,0.584,0.0207378712871287
0.23589214528431768,0.0,0.0,0.0,0.0,0.0,0.5721078547156823,-0.0,0.8079999999999999,0.0766902360387091
0.8661011192934343,0.0,0.0,0.0,0.0,0.0,0.9658988807065656,-0.0,1.8319999999999999,0.129477357355501
0.1989177215592035,0.0,0.0,0.0,0.0,0.0,1.6410822784407966,-0.0,1.84,0.219984721858281
0.5990984510432855,0.0,0.0,0.0,0.0,0.0,1.2089015489567145,-0.0,1.808,0.16205151593859102
0.0,0.3021365493016749,0.0,0.0,0.0,0.0,0.7440000000000001,-0.0,0.7440000000000001,0.140233101561832
1.0623099448377928,0.0,0.0,0.0,0.0,0.0,0.5856900551622073,-0.0,1.6480000000000001,0.0785109104964767
0.7866558099209939,0.0,0.0,0.0,0.0,0.0,0.15734419007900607,-0.0,0.9440000000000001,0.0210917626405868
0.8079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8079999999999999,0.0
1.1440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.1440000000000001,0.0
2.064,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.064,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.44,0.0
1.456,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.456,0.0
1.4080000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.4080000000000001,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0
0.848,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.848,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.496,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.43200000000000005,0.0
0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5760000000000001,0.0
0.424,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.424,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.43200000000000005,0.0
0.632,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.632,0.0
0.616,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.616,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5920000000000001,0.0
0.4848520463921706,0.0,0.0,0.0,0.0,0.0,0.2591479536078295,-0.0,0.7440000000000001,0.0347384108910891
0.42172205077912084,0.0,0.0,0.0,0.0,0.0,0.5862779492208792,-0.0,1.008,0.0785897168504774
0.6334951935971282,0.0,0.0,0.0,0.0,0.0,0.8705048064028718,-0.0,1.504,0.11668991873751501
0.2965998652969499,0.0,0.0,0.0,0.0,0.0,1.01540013470305,-0.0,1.3119999999999998,0.136112929340593
0.025043775005964664,0.0,0.0,0.0,0.0,0.0,1.0309562249940354,-0.0,1.056,0.13819820089633497
0.254728340599514,0.0,0.0,0.0,0.0,0.0,0.6972716594004861,-0.0,0.9520000000000001,0.0934682642473076
0.40406161331413115,0.0,0.0,0.0,0.0,0.0,0.47593838668586885,-0.0,0.88,0.0637988570056617
0.7295817730809147,0.0,0.0,0.0,0.0,0.0,0.07041822691908538,-0.0,0.8,0.00943946215619753
0.56,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.56,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.88,0.0
1.16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.16,0.0
1.76,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.76,0.0
1.784,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.784,0.0
0.968,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.968,0.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.76,0.0
0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.9279999999999999,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5920000000000001,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.47200000000000003,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.496,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.48,0.0
0.624,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.624,0.0
