variable_investment_cost_solar,battery_capacity,rated_power,total_cost
400,,,
700,0.0,99.99999999999999,7110.345271954374
1100,0.0,51.398313160875084,7717.6267076643235
1200,0.0,30.636371695777605,7633.265834169164
1300,0.0,28.379758020666564,7741.87418907591
1600,0.0,26.596798924459474,8057.63366643086
2000,0.0,21.976299476718836,8378.049265883054
