grid_cons,pv_grid,battery_cons,lost_discharging,pv_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv,EV_presence,ev_ev,ev_cons,ev_battery
4.730000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,4.730000000000001,0.0,1.0,7,0,0
4.330000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330000000000001,0.0,1.0,7,0,0
3.780000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.780000000000001,0.0,1.0,7,0,0
3.120000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120000000000001,0.0,1.0,7,0,0
2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,1.0,7,0,0
3.120000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120000000000001,0.0,1.0,7,0,0
3.190000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.190000000000001,0.0,1.0,0,0,0
3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0,0,0
5.689076627255914,0.0,0.0,0.0,0.0,0.0,0.0009233727440863187,0.0,5.69,0.0025274208,0.0,0,0,0
3.87281911980097,0.0,0.0,0.0,0.0,0.0,0.5371808801990302,0.0,4.41,1.4703511,0.0,0,0,0
6.100403715849972,0.0,0.0,0.0,0.0,0.0,1.1095962841500289,0.0,7.210000000000001,3.0371448,0.0,0,0,0
5.151335720104721,0.0,0.0,0.0,0.0,0.0,1.5786642798952804,0.0,6.730000000000001,4.3210599,0.0,0,0,0
4.450817366417992,0.0,0.0,0.0,0.0,0.0,1.7191826335820095,0.0,6.170000000000002,4.7056814,0.0,0,0,0
5.760156965730864,0.0,0.0,0.0,0.0,0.0,1.4598430342691362,0.0,7.220000000000001,3.9958269,0.0,0,0,0
5.893529691356442,0.0,0.0,0.0,0.0,0.0,1.2064703086435575,0.0,7.1,3.3023047,0.0,0,0,0
5.02445257084196,0.0,0.0,0.0,0.0,0.0,0.5455474291580413,0.0,5.570000000000001,1.4932517,0.0,0,0,0
7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0,0,0
8.739999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739999999999998,0.0,0.0,0,0,0
10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72,0.0,0.0,0,0,0
14.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.26,0.0,1.0,7,0,0
8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,0.0,1.0,7,0,0
5.500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500000000000001,0.0,1.0,7,0,0
6.490000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.490000000000001,0.0,1.0,7,0,0
4.210000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210000000000001,0.0,1.0,7,0,0
2.890000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.890000000000001,0.0,1.0,7,0,0
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,1.0,7,0,0
2.580000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.580000000000001,0.0,1.0,7,0,0
2.720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.720000000000001,0.0,1.0,45,0,0
2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,1.0,45,0,0
3.090000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.090000000000001,0.0,1.0,45,0,0
3.960000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.960000000000001,0.0,1.0,0,0,0
