grid_cons,pv_grid,battery_cons,pv_bat_edges,pv_cons,battery_usage
0.0,0.0,0.0,0.0,0.0,0
0.408,0.0,0.0,0.0,0.0,0.0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0
0.528,0.0,0.0,0.0,0.0,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0
0.528,0.0,0.0,0.0,0.0,0.0
0.504,0.0,0.0,0.0,0.0,0.0
0.42929583339056765,0.0,0.0,0.0,0.15470416660943234,0.0
0.23589214528431768,0.0,0.0,0.0,0.5721078547156823,0.0
0.8661011192934343,0.0,0.0,0.0,0.9658988807065656,0.0
0.19891772155920373,0.0,0.0,0.0,1.6410822784407963,0.0
0.5990984510432853,0.0,0.0,0.0,1.2089015489567148,0.0
0.0,0.3021365493016749,0.0,0.0,0.7440000000000001,0.0
1.0623099448377928,0.0,0.0,0.0,0.5856900551622072,0.0
0.7866558099209939,0.0,0.0,0.0,0.15734419007900607,0.0
0.8079999999999999,0.0,0.0,0.0,0.0,0.0
1.1440000000000001,0.0,0.0,0.0,0.0,0.0
2.064,0.0,0.0,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0
1.456,0.0,0.0,0.0,0.0,0.0
1.4080000000000001,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.848,0.0,0.0,0.0,0.0,0.0
0.496,0.0,0.0,0.0,0.0,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0
0.5760000000000001,0.0,0.0,0.0,0.0,0.0
0.424,0.0,0.0,0.0,0.0,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0
0.632,0.0,0.0,0.0,0.0,0.0
0.616,0.0,0.0,0.0,0.0,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0
0.4848520463921706,0.0,0.0,0.0,0.2591479536078295,0.0
0.42172205077912084,0.0,0.0,0.0,0.5862779492208792,0.0
0.6334951935971282,0.0,0.0,0.0,0.8705048064028718,0.0
0.29659986529695015,0.0,0.0,0.0,1.0154001347030497,0.0
0.02504377500596444,0.0,0.0,0.0,1.0309562249940356,0.0
0.254728340599514,0.0,0.0,0.0,0.6972716594004861,0.0
0.40406161331413115,0.0,0.0,0.0,0.47593838668586885,0.0
0.7295817730809147,0.0,0.0,0.0,0.07041822691908538,0.0
0.56,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0
1.16,0.0,0.0,0.0,0.0,0.0
1.76,0.0,0.0,0.0,0.0,0.0
1.784,0.0,0.0,0.0,0.0,0.0
0.968,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0,0.0
0.9279999999999999,0.0,0.0,0.0,0.0,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0
0.496,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0
0.624,0.0,0.0,0.0,0.0,0.0
0.8201889074828095,0.0,0.0,0.0,0.20381109251719048,0.0
0.0,0.31502055477087887,0.0,0.0,0.8240000000000001,0.0
