grid_cons,pv_grid,battery_cons,lost_discharging,pv_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv,EV_presence,ev_ev,ev_cons,ev_battery
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0,0.536,0.0,1.0,9,0,0
0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.0,1.0,19,0,0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,0.0,1.0,28,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0,1.0,38,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.0,1.0,45,0,1
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.9750000000000002,0.5920000000000001,0.0,1.0,45,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.9750000000000002,0.528,0.0,1.0,0,0,10
0.43566666666666654,0.0,0.06833333333333347,0.0034166666666666764,0.0,0.0,0.0,10.0,0.504,0.0,0.0,0,0,0
0.43566666666666654,0.0,0.14833333333333343,0.007416666666666678,0.0,0.0,0.0,9.928070175438597,0.584,0.0207378712871287,0.0,0,0,0
0.43566666666666654,0.0,0.3723333333333334,0.018616666666666688,0.0,0.0,0.0,9.771929824561404,0.8079999999999999,0.0766902360387091,0.0,0,0,0
0.43566666666666654,0.0,1.3963333333333332,0.06981666666666672,0.0,0.0,0.0,9.38,1.8319999999999999,0.129477357355501,0.0,0,0,0
0.43566666666666654,0.0,1.4043333333333337,0.07021666666666675,0.0,0.0,0.0,7.910175438596492,1.84,0.219984721858281,0.0,0,0,0
0.43566666666666654,0.0,1.3723333333333336,0.06861666666666674,0.0,0.0,0.0,6.431929824561404,1.808,0.16205151593859102,0.0,0,0,0
0.43566666666666654,0.0,0.30833333333333357,0.015416666666666691,0.0,0.0,0.0,4.987368421052633,0.7440000000000001,0.140233101561832,0.0,0,0,0
0.43566666666666665,0.0,1.2123333333333335,0.06061666666666673,0.0,0.0,0.0,4.6628070175438605,1.6480000000000001,0.0785109104964767,0.0,0,0,0
0.43566666666666654,0.0,0.5083333333333335,0.0254166666666667,0.0,0.0,0.0,3.3866666666666676,0.9440000000000001,0.0210917626405868,0.0,0,0,0
0.43566666666666654,0.0,0.3723333333333334,0.018616666666666688,0.0,0.0,0.0,2.851578947368422,0.8079999999999999,0.0,0.0,0,0,0
0.43566666666666654,0.0,0.7083333333333336,0.035416666666666714,0.0,0.0,0.0,2.459649122807018,1.1440000000000001,0.0,0.0,0,0,0
0.43566666666666654,0.0,1.6283333333333334,0.08141666666666675,0.0,0.0,0.0,1.7140350877192985,2.064,0.0,0.0,0,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.0,11,1,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456,0.0,1.0,19,1,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4080000000000001,0.0,1.0,28,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.0,1.0,46,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.0,50,0,0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0,1.0,50,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.0,1.0,49,0,0
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.0,1.0,49,0,0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0,1.0,49,0,0
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.0,1.0,45,0,7
0.43566666666666654,0.0,0.0,0.0,0.0,0.0,0.0,6.547368421052634,0.616,0.0,1.0,0,0,0
0.43566666666666654,0.0,0.15633333333333355,0.007816666666666684,0.0,0.0,0.0,6.547368421052634,0.5920000000000001,0.0,0.0,0,0,0
0.43566666666666654,0.0,0.30833333333333357,0.015416666666666691,0.0,0.0,0.0,6.382807017543862,0.7440000000000001,0.0347384108910891,0.0,0,0,0
0.43566666666666654,0.0,0.5723333333333335,0.0286166666666667,0.0,0.0,0.0,6.05824561403509,1.008,0.0785897168504774,0.0,0,0,0
0.43566666666666654,0.0,1.0683333333333334,0.053416666666666716,0.0,0.0,0.0,5.455789473684212,1.504,0.11668991873751501,0.0,0,0,0
0.43566666666666654,0.0,0.8763333333333333,0.043816666666666705,0.0,0.0,0.0,4.33122807017544,1.3119999999999998,0.136112929340593,0.0,0,0,0
0.43566666666666654,0.0,0.6203333333333335,0.031016666666666703,0.0,0.0,0.0,3.408771929824563,1.056,0.13819820089633497,0.0,0,0,0
0.43566666666666654,0.0,0.5163333333333335,0.0258166666666667,0.0,0.0,0.0,2.755789473684212,0.9520000000000001,0.0934682642473076,0.0,0,0,0
0.43566666666666654,0.0,0.44433333333333347,0.022216666666666694,0.0,0.0,0.0,2.212280701754387,0.88,0.0637988570056617,0.0,0,0,0
0.43566666666666654,0.0,0.3643333333333335,0.01821666666666669,0.0,0.0,0.0,1.7445614035087726,0.8,0.00943946215619753,0.0,0,0,0
