grid_cons,pv_grid,battery_cons,PV_battery,pv_cons,battery_usage,consumption_data,normalized_pv
0.0,0.0,0.0,0.0,0.0,0,0.536,0.0
0.408,0.0,0.0,0.0,0.0,0.0,0.408,0.0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.528,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.528,0.0
0.504,0.0,0.0,0.0,0.0,0.0,0.504,0.0
0.3455899854673401,0.0,0.0,0.0,0.23841001453265984,0.0,0.584,0.0207378712871287
0.0,0.0,0.0,0.07365849017733284,0.8079999999999999,0.0,0.8079999999999999,0.0766902360387091
0.3434818092281944,0.0,0.0,0.0,1.4885181907718055,0.07365849017733284,1.8319999999999999,0.129477357355501
1.84,0.0,0.0,2.529023351000723,0.0,0.07365849017733284,1.84,0.219984721858281
0.0,0.0,0.0,0.055002414039395875,1.808,2.602681841178056,1.808,0.16205151593859102
0.7440000000000001,0.0,0.0,1.6121700881645964,0.0,2.657684255217452,0.7440000000000001,0.140233101561832
0.7454103825181487,0.0,0.0,0.0,0.9025896174818514,4.269854343382049,1.6480000000000001,0.0785109104964767
2.7755575615628914e-17,0.0,0.7015215233984636,0.0,0.2424784766015364,4.269854343382049,0.9440000000000001,0.0210917626405868
0.8079999999999999,0.0,0.0,0.0,0.0,3.568332819983585,0.8079999999999999,0.0
1.1440000000000001,0.0,0.0,0.0,0.0,3.568332819983585,1.1440000000000001,0.0
2.064,0.0,0.0,0.0,0.0,3.568332819983585,2.064,0.0
1.44,0.0,0.0,0.0,0.0,3.568332819983585,1.44,0.0
1.456,0.0,0.0,0.0,0.0,3.568332819983585,1.456,0.0
0.0,0.0,1.4080000000000001,0.0,0.0,3.568332819983585,1.4080000000000001,0.0
1.0,0.0,0.0,0.0,0.0,2.1603328199835845,1.0,0.0
0.848,0.0,0.0,0.0,0.0,2.1603328199835845,0.848,0.0
0.496,0.0,0.0,0.0,0.0,2.1603328199835845,0.496,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,2.1603328199835845,0.43200000000000005,0.0
0.5760000000000001,0.0,0.0,0.0,0.0,2.1603328199835845,0.5760000000000001,0.0
0.424,0.0,0.0,0.0,0.0,2.1603328199835845,0.424,0.0
0.0,0.0,0.43200000000000005,0.0,0.0,2.1603328199835845,0.43200000000000005,0.0
0.632,0.0,0.0,0.0,0.0,1.7283328199835846,0.632,0.0
0.616,0.0,0.0,0.0,0.0,1.7283328199835846,0.616,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,1.7283328199835846,0.5920000000000001,0.0
0.0,0.0,0.3446347550953116,0.0,0.3993652449046885,1.7283328199835846,0.7440000000000001,0.0347384108910891
0.0,0.0,0.10450439637605902,0.0,0.903495603623941,1.3836980648882728,1.008,0.0785897168504774
0.16249079508498943,0.0,0.0,0.0,1.3415092049150106,1.2791936685122138,1.504,0.11668991873751501
0.0,0.0,0.0,0.25280310890514235,1.3119999999999998,1.2791936685122138,1.3119999999999998,0.136112929340593
1.056,0.0,0.0,1.5887761394551752,0.0,1.5319967774173562,1.056,0.13819820089633497
0.0,0.0,0.0,0.1225447268434866,0.9520000000000001,3.1207729168725313,0.9520000000000001,0.0934682642473076
0.0,0.0,0.14654543201223336,0.0,0.7334545679877666,3.243317643716018,0.88,0.0637988570056617
0.6914805536845852,0.0,0.0,0.0,0.10851944631541482,3.096772211703785,0.8,0.00943946215619753
0.56,0.0,0.0,0.0,0.0,3.096772211703785,0.56,0.0
0.0,0.0,0.88,0.0,0.0,3.096772211703785,0.88,0.0
1.16,0.0,0.0,0.0,0.0,2.216772211703785,1.16,0.0
1.76,0.0,0.0,0.0,0.0,2.216772211703785,1.76,0.0
1.784,0.0,0.0,0.0,0.0,2.216772211703785,1.784,0.0
0.968,0.0,0.0,0.0,0.0,2.216772211703785,0.968,0.0
0.76,0.0,0.0,0.0,0.0,2.216772211703785,0.76,0.0
0.0,0.0,0.9279999999999999,0.0,0.0,2.216772211703785,0.9279999999999999,0.0
0.0,0.0,0.5920000000000001,0.0,0.0,1.288772211703785,0.5920000000000001,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.6967722117037849,0.47200000000000003,0.0
0.496,0.0,0.0,0.0,0.0,0.6967722117037849,0.496,0.0
0.48,0.0,0.0,0.0,0.0,0.6967722117037849,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.6967722117037849,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.6967722117037849,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.6967722117037849,0.48,0.0
0.0,0.0,0.624,0.0,0.0,0.6967722117037849,0.624,0.0
0.7099127546860908,0.0,0.0,0.0,0.31408724531390925,0.0727722117037849,1.024,0.0273205841584158
0.0,0.0,0.8240000000000001,1.7553108811961813,0.0,0.0727722117037849,0.8240000000000001,0.15268406905850102
0.0,0.0,0.728,2.9829214938257493,0.0,1.004083092899966,0.728,0.259466625677731
0.0,0.0,2.2880000000000003,3.188411517086259,0.0,3.2590045867257156,2.2880000000000003,0.277340982430399
0.0,0.0,0.0,1.3880077928764856,1.264,4.159416103811974,1.264,0.23068240807309198
2.280891986893681,0.0,0.0,2.697044991805412,0.015108013106318818,5.54742389668846,2.296,0.235914082875717
0.0,0.0,0.0,0.4260104081442082,1.3119999999999998,8.244468888493872,1.3119999999999998,0.15117920365231602
0.648,0.0,0.0,0.37450132365504774,0.0,8.67047929663808,0.648,0.0325756460442386
0.0,0.0,0.528,0.0,0.0,9.04498062029313,0.528,0.0
0.0,0.0,1.016,0.0,0.0,8.516980620293129,1.016,0.0
2.496,0.0,0.0,0.0,0.0,7.500980620293128,2.496,0.0
0.0,0.0,1.912,0.0,0.0,7.500980620293128,1.912,0.0
0.0,0.0,1.168,0.0,0.0,5.588980620293129,1.168,0.0
0.0,0.0,1.168,0.0,0.0,4.420980620293129,1.168,0.0
1.92,0.0,0.0,0.0,0.0,3.252980620293129,1.92,0.0
1.3359999999999999,0.0,0.0,0.0,0.0,3.252980620293129,1.3359999999999999,0.0
0.0,0.0,0.5760000000000001,0.0,0.0,3.252980620293129,0.5760000000000001,0.0
0.0,0.0,0.47200000000000003,0.0,0.0,2.6769806202931288,0.47200000000000003,0.0
0.0,0.0,0.48,0.0,0.0,2.204980620293129,0.48,0.0
0.424,0.0,0.0,0.0,0.0,1.7249806202931288,0.424,0.0
0.0,0.0,0.504,0.0,0.0,1.7249806202931288,0.504,0.0
0.536,0.0,0.0,0.0,0.0,1.2209806202931288,0.536,0.0
0.0,0.0,0.488,0.0,0.0,1.2209806202931288,0.488,0.0
0.0,0.0,0.48,0.0,0.0,0.7329806202931288,0.48,0.0
0.0,0.0,0.6559999999999999,0.40301937970687113,0.0,0.2529806202931288,0.6559999999999999,0.0350562623762376
0.0,0.0,0.792,2.6204297669181242,0.0,0.0,0.792,0.227935623131571
0.0,3.923927348613542,0.84,0.0,0.0,1.8284297669181242,0.84,0.341319136509865
0.0,0.0,1.5519999999999998,4.350516987851386,0.0,0.9884297669181242,1.5519999999999998,0.378425635782886
0.0,1.727758605033055,0.0,1.4409904911650684,0.912,3.786946754769511,0.912,0.354960128994206
0.0,0.0,0.7440000000000001,3.5041664965511905,0.0,5.227937245934579,0.7440000000000001,0.304806632878219
0.0,0.0,0.0,1.8695334375021933,0.664,7.9881037424857695,0.664,0.22037702749839702
0.0,0.0,1.056,1.1983628200120364,0.0,9.857637179987963,1.056,0.10423846483716302
0.0,0.0,0.9279999999999999,0.0,0.0,10.0,0.9279999999999999,0.0
0.736,0.0,0.0,0.0,0.0,9.072,0.736,0.0
0.84,0.0,0.0,0.0,0.0,9.072,0.84,0.0
0.0,0.0,1.248,0.0,0.0,9.072,1.248,0.0
