grid_cons,pv_grid,battery_cons,PV_battery,pv_cons,battery_usage,consumption_data,normalized_pv
0.0,0.0,0.0,0.0,0.0,0,0.536,0.0
0.408,0.0,0.0,0.0,0.0,0.0,0.408,0.0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.528,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
0.528,0.0,0.0,0.0,0.0,0.0,0.528,0.0
0.504,0.0,0.0,0.0,0.0,0.0,0.504,0.0
0.4009125293656245,0.0,0.0,0.0,0.18308747063437544,0.0,0.584,0.0207378712871287
0.13092851352610801,0.0,0.0,0.0,0.6770714864738919,0.0,0.8079999999999999,0.0766902360387091
0.6888893337979609,0.0,0.0,0.0,1.143110666202039,0.0,1.8319999999999999,0.129477357355501
0.0,0.10216878606231394,0.0,0.0,1.84,0.0,1.84,0.219984721858281
0.37730338920187423,0.0,0.0,0.0,1.4306966107981258,0.0,1.808,0.16205151593859102
0.0,0.49406940011749734,0.0,0.0,0.7440000000000001,0.0,0.7440000000000001,0.140233101561832
0.9548544104175515,0.0,0.0,0.0,0.6931455895824487,0.0,1.6480000000000001,0.0785109104964767
0.7577881453877844,0.0,0.0,0.0,0.18621185461221573,0.0,0.9440000000000001,0.0210917626405868
0.8079999999999999,0.0,0.0,0.0,0.0,0.0,0.8079999999999999,0.0
1.1440000000000001,0.0,0.0,0.0,0.0,0.0,1.1440000000000001,0.0
2.064,0.0,0.0,0.0,0.0,0.0,2.064,0.0
1.44,0.0,0.0,0.0,0.0,0.0,1.44,0.0
1.456,0.0,0.0,0.0,0.0,0.0,1.456,0.0
1.4080000000000001,0.0,0.0,0.0,0.0,0.0,1.4080000000000001,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.848,0.0,0.0,0.0,0.0,0.0,0.848,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.496,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0
0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.0
0.424,0.0,0.0,0.0,0.0,0.0,0.424,0.0
0.43200000000000005,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0
0.632,0.0,0.0,0.0,0.0,0.0,0.632,0.0
0.616,0.0,0.0,0.0,0.0,0.0,0.616,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
0.4373066226592561,0.0,0.0,0.0,0.30669337734074403,0.0,0.7440000000000001,0.0347384108910891
0.3141586564597737,0.0,0.0,0.0,0.6938413435402263,0.0,1.008,0.0785897168504774
0.47378519278193054,0.0,0.0,0.0,1.0302148072180695,0.0,1.504,0.11668991873751501
0.11030617093896211,0.0,0.0,0.0,1.2016938290610377,0.0,1.3119999999999998,0.136112929340593
0.0,0.16410396814621797,0.0,0.0,1.056,0.0,1.056,0.13819820089633497
0.1268011235730664,0.0,0.0,0.0,0.8251988764269337,0.0,0.9520000000000001,0.0934682642473076
0.31674202637275195,0.0,0.0,0.0,0.563257973627248,0.0,0.88,0.0637988570056617
0.7166622636239537,0.0,0.0,0.0,0.08333773637604638,0.0,0.8,0.00943946215619753
0.56,0.0,0.0,0.0,0.0,0.0,0.56,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.88,0.0
1.16,0.0,0.0,0.0,0.0,0.0,1.16,0.0
1.76,0.0,0.0,0.0,0.0,0.0,1.76,0.0
1.784,0.0,0.0,0.0,0.0,0.0,1.784,0.0
0.968,0.0,0.0,0.0,0.0,0.0,0.968,0.0
0.76,0.0,0.0,0.0,0.0,0.0,0.76,0.0
0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0.9279999999999999,0.0
0.5920000000000001,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.496,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.624,0.0,0.0,0.0,0.0,0.0,0.624,0.0
0.7827960412830538,0.0,0.0,0.0,0.2412039587169462,0.0,1.024,0.0273205841584158
0.0,0.5239946723092883,0.0,0.0,0.8240000000000001,0.0,0.8240000000000001,0.15268406905850102
0.0,1.562740816722923,0.0,0.0,0.728,0.0,0.728,0.259466625677731
0.0,0.16054731102273223,0.0,0.0,2.2880000000000003,0.0,2.2880000000000003,0.277340982430399
0.0,0.7726149461137373,0.0,0.0,1.264,0.0,1.264,0.23068240807309198
0.21319641217216745,0.0,0.0,0.0,2.0828035878278324,0.0,2.296,0.235914082875717
0.0,0.022708737747885843,0.0,0.0,1.3119999999999998,0.0,1.3119999999999998,0.15117920365231602
0.3604009231255034,0.0,0.0,0.0,0.2875990768744966,0.0,0.648,0.0325756460442386
0.528,0.0,0.0,0.0,0.0,0.0,0.528,0.0
1.016,0.0,0.0,0.0,0.0,0.0,1.016,0.0
2.496,0.0,0.0,0.0,0.0,0.0,2.496,0.0
1.912,0.0,0.0,0.0,0.0,0.0,1.912,0.0
1.168,0.0,0.0,0.0,0.0,0.0,1.168,0.0
1.168,0.0,0.0,0.0,0.0,0.0,1.168,0.0
1.92,0.0,0.0,0.0,0.0,0.0,1.92,0.0
1.3359999999999999,0.0,0.0,0.0,0.0,0.0,1.3359999999999999,0.0
0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.424,0.0,0.0,0.0,0.0,0.0,0.424,0.0
0.504,0.0,0.0,0.0,0.0,0.0,0.504,0.0
0.536,0.0,0.0,0.0,0.0,0.0,0.536,0.0
0.488,0.0,0.0,0.0,0.0,0.0,0.488,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.3465004221747665,0.0,0.0,0.0,0.3094995778252334,0.0,0.6559999999999999,0.0350562623762376
0.0,1.2203645348561556,0.0,0.0,0.792,0.0,0.792,0.227935623131571
0.0,2.173388236307866,0.0,0.0,0.84,0.0,0.84,0.341319136509865
0.0,1.7889886443695338,0.0,0.0,1.5519999999999998,0.0,1.5519999999999998,0.378425635782886
0.0,2.2218198262392117,0.0,0.0,0.912,0.0,0.912,0.354960128994206
0.0,1.947032009678392,0.0,0.0,0.7440000000000001,0.0,0.7440000000000001,0.304806632878219
0.0,1.2816323164493033,0.0,0.0,0.664,0.0,0.664,0.22037702749839702
0.13571475926308174,0.0,0.0,0.0,0.9202852407369183,0.0,1.056,0.10423846483716302
0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0.9279999999999999,0.0
0.736,0.0,0.0,0.0,0.0,0.0,0.736,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.84,0.0
1.248,0.0,0.0,0.0,0.0,0.0,1.248,0.0
0.9840000000000001,0.0,0.0,0.0,0.0,0.0,0.9840000000000001,0.0
1.112,0.0,0.0,0.0,0.0,0.0,1.112,0.0
1.24,0.0,0.0,0.0,0.0,0.0,1.24,0.0
1.064,0.0,0.0,0.0,0.0,0.0,1.064,0.0
0.736,0.0,0.0,0.0,0.0,0.0,0.736,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.504,0.0,0.0,0.0,0.0,0.0,0.504,0.0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.0
0.504,0.0,0.0,0.0,0.0,0.0,0.504,0.0
