variable_investment_cost_solar,variable_investment_cost_battery,battery_capacity,rated_power,total_cost
1200,0,100.0,55.31644871855555,5902.980802970666
1200,100,63.17314686507019,53.69376260566158,6653.949979307148
1200,200,53.72077103744674,50.622634817381496,7234.284608753487
1200,500,0.0,28.379758020666564,7628.355156993242
